EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionStatus,AttritionProbability,RiskCategory,ReasonCodes
EMP-0001,41,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,Left,0.8962356099165938,High,Works overtime; Low environment satisfaction; Low work-life balance; No stock options
EMP-0002,49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,Stayed,0.10448164613301004,Low,Low job satisfaction; Frequent business travel
EMP-0003,37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Left,0.636126650873686,High,Works overtime; No stock options; Income below workforce median
EMP-0004,33,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Stayed,0.4556309942889355,Medium,Works overtime; Frequent business travel; No stock options; Income below workforce median
EMP-0005,27,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,Stayed,0.7661141461471532,High,Low job satisfaction; Low environment satisfaction; Income below workforce median
EMP-0006,32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,Stayed,0.18115967098601962,Low,Low work-life balance; Frequent business travel; No stock options; Income below workforce median
EMP-0007,59,0,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,Stayed,0.3482207599422696,Medium,Works overtime; Low job satisfaction; Low work-life balance; Income below workforce median
EMP-0008,30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,Stayed,0.533996126453367,Medium,Long distance from home; Income below workforce median
EMP-0009,38,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,Stayed,0.2720550955672284,Low,Frequent business travel; Long distance from home; No stock options
EMP-0010,36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,Stayed,0.11166179962711567,Low,Low work-life balance; Long period since promotion; Long distance from home
EMP-0011,35,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,Stayed,0.2620286162500547,Low,Low job satisfaction; Low environment satisfaction; Long distance from home; Income below workforce median
EMP-0012,29,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,Stayed,0.6547232419556362,High,Works overtime; Long distance from home; No stock options; Income below workforce median
EMP-0013,31,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,Stayed,0.38455214178327296,Medium,Low environment satisfaction; Low work-life balance; Long period since promotion; Long distance from home
EMP-0014,34,0,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,Stayed,0.30562635893070217,Medium,Low environment satisfaction; Long distance from home; Income below workforce median
EMP-0015,28,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,Left,0.9530765685844023,High,Works overtime; Long distance from home; No stock options; Income below workforce median
EMP-0016,29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,Stayed,0.3027243956930237,Medium,Low job satisfaction; Low environment satisfaction; Long period since promotion; Long distance from home
EMP-0017,32,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,Stayed,0.21524518277133445,Low,Works overtime; Low job satisfaction; Low environment satisfaction; Low work-life balance
EMP-0018,22,0,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,Stayed,0.5344889349182121,Medium,Works overtime; Low work-life balance; Long distance from home; Income below workforce median
EMP-0019,53,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,Stayed,0.060988421242016734,Low,Low environment satisfaction; No stock options
EMP-0020,38,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,Stayed,0.4406022872968899,Medium,Works overtime; No stock options; Income below workforce median
