Feature,Importance
JobRole_Research Director,0.07731166349846721
JobRole_Laboratory Technician,0.06389218312440777
JobRole_Sales Representative,0.05782827702297804
BusinessTravel_Non-Travel,0.051288026122970926
OverTime_No,0.04673543199377407
EducationField_Other,0.04576964373130222
BusinessTravel_Travel_Frequently,0.04074429731085146
OverTime_Yes,0.03989601283775355
EducationField_Human Resources,0.03736188211645108
JobRole_Healthcare Representative,0.0329553207434918
JobLevel,0.03201974509154139
YearsSinceLastPromotion,0.03183521256533045
MonthlyIncome,0.031013241245701175
NumCompaniesWorked,0.024842918482889602
StockOptionLevel,0.022278652728675123
EducationField_Technical Degree,0.020668708072642643
YearsWithCurrManager,0.020507675100705284
JobRole_Manager,0.01932934988197023
Department_Sales,0.0188662327506692
JobRole_Human Resources,0.01861064559612174
EngagementCompositeScore,0.018407268274364365
TotalWorkingYears,0.018127860193311775
JobRole_Manufacturing Director,0.01811138517100616
DistanceFromHome,0.01623674687588635
IncomeToExperienceRatio,0.016013745159190844
Department_Human Resources,0.013248946103342851
EnvironmentSatisfaction,0.013029312218153698
Department_Research & Development,0.012456705803346822
Age,0.0124057742957547
PercentSalaryHike,0.012351551198950263
EducationField_Life Sciences,0.011973752643871174
DailyRate,0.011865294437667418
YearsInCurrentRole,0.010511423105381078
JobSatisfaction,0.009554396907964755
JobInvolvement,0.009428832222097509
YearsAtCompany,0.00911284914196886
EducationField_Medical,0.007606778024345321
PerformanceRating,0.0073128328589369875
TrainingTimesLastYear,0.006658779016767585
PromotionDelayIndicator,0.006637772857723249
WorkLifeBalance,0.005684234625926836
RelationshipSatisfaction,0.0039387696792442676
BusinessTravel_Travel_Rarely,0.003704309656098928
JobRole_Research Scientist,0.0033327919206211673
JobRole_Sales Executive,0.002795597525213569
HourlyRate,0.0021231544960290424
Education,0.0017067950364368046
WorkloadStressFlag,0.0011536378239908962
EducationField_Marketing,0.0004801650544045868
MonthlyRate,0.0002734176533069566
